age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
9, Private,3, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,9, United-States, <=50K.
13, Private,9, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, >50K
9, Self-emp-not-inc,5, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,21,19, United-States, >50K
11, Self-emp-not-inc,5, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,24, United-States, <=50K.
14, Self-emp-not-inc,7, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,23, United-States, <=50K.
18, Private,5, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,22, United-States, <=50K
25, Private,4, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,19, United-States, >50K.
9, Private,1, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,19, United-States, <=50K
2, Private,6, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,5, United-States, <=50K.
0, Private,10, 10th,6, Never-married, Sales, Unmarried, White, Female,0,0,11, United-States, <=50K
25, Private,12, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,19, United-States, >50K
21, Federal-gov,8, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,19, United-States, <=50K.
29, Private,8, HS-grad,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,14, Philippines, <=50K
7, Private,3, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,19, Nicaragua, <=50K
8, Private,6, Assoc-acdm,12, Never-married, Craft-repair, Not-in-family, White, Male,0,0,17, United-States, <=50K.
15, Private,15, Bachelors,13, Never-married, Prof-specialty, Other-relative, White, Female,0,0,19, United-States, <=50K
0, Private,0, 12th,8, Never-married, Sales, Own-child, White, Female,0,0,9, United-States, <=50K
8, Private,5, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,22,19, United-States, >50K.
17, Private,7, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,19, United-States, <=50K
29, Private,3, 10th,6, Widowed, Sales, Not-in-family, White, Female,0,0,19, United-States, <=50K
34, ?,6, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male,0,0,19, United-States, <=50K
11, Private,7, Some-college,10, Separated, Machine-op-inspct, Not-in-family, Other, Male,0,0,19, United-States, <=50K
4, Private,0, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,27, United-States, <=50K.
21, Self-emp-inc,10, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,24, United-States, <=50K
0, Private,5, 10th,6, Never-married, Sales, Unmarried, White, Female,0,0,12, United-States, <=50K.
29, Self-emp-not-inc,4, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,19, United-States, <=50K
5, Private,9, Assoc-acdm,12, Never-married, Adm-clerical, Unmarried, White, Female,0,0,19, United-States, <=50K
18, Private,5, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
32, Self-emp-inc,4, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,24, United-States, <=50K
26, Self-emp-inc,5, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,30, Canada, >50K
16, Private,3, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,19, United-States, <=50K
2, ?,7, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,30, United-States, <=50K.
36, Self-emp-not-inc,5, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,19, United-States, <=50K.
11, Private,9, Some-college,10, Never-married, Tech-support, Unmarried, Black, Female,0,0,19, United-States, <=50K.
4, ?,3, 11th,7, Separated, ?, Not-in-family, White, Female,0,0,17, United-States, <=50K.
6, Private,11, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,24, United-States, <=50K.
49, ?,10, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,19, United-States, >50K
6, Private,8, Some-college,10, Divorced, Exec-managerial, Own-child, White, Female,0,0,19, United-States, <=50K
15, Private,10, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,17, United-States, >50K
17, ?,4, Bachelors,13, Married-civ-spouse, ?, Husband, Black, Male,1,0,3, United-States, <=50K.
4, Federal-gov,10, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,19,22, United-States, <=50K
20, Private,4, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,19, United-States, <=50K
2, Private,6, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,19, United-States, <=50K.
4, Private,4, Bachelors,13, Never-married, Sales, Own-child, Black, Male,0,0,19, United-States, <=50K
22, Private,8, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,19, United-States, >50K
21, Private,3, 5th-6th,3, Married-civ-spouse, Other-service, Husband, White, Male,0,29,19, Greece, <=50K
28, Private,4, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,7,0,19, Greece, >50K
15, Private,4, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,19, United-States, <=50K.
5, State-gov,3, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,18, United-States, <=50K.
23, Private,8, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,19, United-States, <=50K
27, Private,7, Assoc-voc,11, Widowed, Craft-repair, Not-in-family, Black, Male,0,0,19, ?, <=50K.
15, Self-emp-not-inc,0, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States, <=50K.
2, Private,10, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,24, United-States, <=50K.
6, Private,5, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,19, United-States, <=50K
7, Self-emp-not-inc,6, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,0,20,19, United-States, <=50K
13, Federal-gov,2, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,20, United-States, <=50K.
2, Private,0, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,23, United-States, <=50K
17, State-gov,4, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,24, United-States, <=50K
26, Private,13, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,17, United-States, <=50K
6, Private,6, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,26, United-States, <=50K
17, Private,2, Bachelors,13, Divorced, Other-service, Not-in-family, White, Male,0,0,19, United-States, <=50K.
4, Private,6, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,14, United-States, <=50K.
25, Self-emp-not-inc,8, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,22, United-States, >50K.
2, Private,1, HS-grad,9, Separated, Farming-fishing, Own-child, White, Male,0,0,19, United-States, <=50K
11, Private,12, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,24, United-States, <=50K.
12, Private,4, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, <=50K.
26, Private,2, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,24, United-States, <=50K
21, Private,5, 10th,6, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,19, United-States, <=50K
14, Private,2, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,49,0,30, United-States, >50K
17, Private,11, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,22, United-States, >50K
20, Private,8, 11th,7, Never-married, Machine-op-inspct, Unmarried, Black, Female,3,0,19, United-States, <=50K
9, Private,3, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,19, Portugal, <=50K.
41, State-gov,8, Doctorate,16, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0,0,1, United-States, >50K.
8, Private,9, HS-grad,9, Separated, Transport-moving, Not-in-family, White, Male,0,0,21, United-States, <=50K
16, Private,13, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,22, United-States, >50K
19, Private,2, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,18,19, United-States, <=50K
3, Private,6, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Female,0,0,14, United-States, <=50K
28, Private,6, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,19, United-States, <=50K
21, Self-emp-not-inc,7, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,22,30, United-States, >50K.
15, Local-gov,10, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,22, United-States, <=50K
4, Private,1, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,30, United-States, <=50K
8, Local-gov,8, Some-college,10, Married-civ-spouse, Protective-serv, Own-child, Black, Male,0,0,19, United-States, <=50K.
2, Private,4, Some-college,10, Never-married, Farming-fishing, Own-child, White, Male,0,0,19, United-States, <=50K
21, Private,12, Some-college,10, Divorced, Sales, Not-in-family, White, Male,0,0,19, United-States, >50K.
28, Private,9, 9th,5, Never-married, Other-service, Not-in-family, Black, Male,0,0,24, United-States, <=50K
19, Private,6, Bachelors,13, Divorced, Sales, Other-relative, Black, Male,0,0,19, United-States, <=50K.
2, Private,3, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,19, United-States, <=50K.
21, Private,4, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,8, United-States, <=50K
13, Private,5, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,18, United-States, <=50K
26, Self-emp-inc,3, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,19,19, United-States, <=50K
8, Private,1, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,3, United-States, <=50K
1, Private,4, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,14, United-States, <=50K
30, Private,6, Bachelors,13, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,5, ?, <=50K
18, Private,10, HS-grad,9, Separated, Machine-op-inspct, Own-child, Black, Male,0,0,19, United-States, <=50K.
9, Private,5, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,21,24, United-States, >50K.
